Pressure,Temperature
6,1300
5.95,1290
5.9,1280
5.85,1270
5.8,1260
5.75,1250
5.7,1240
5.65,1230
5.6,1220
5.55,1210
5.5,1200
5.45,1190
5.4,1180
5.35,1170
5.3,1160
5.25,1150
5.2,1140
5.15,1130
5.1,1120
5.05,1110
5,1100
4.95,
4.9,
4.85,
4.8,
4.75,
4.7,
4.65000000000001,
4.60000000000001,
4.55000000000001,
4.50000000000001,
4.45000000000001,
4.40000000000001,
4.35000000000001,
4.30000000000001,
4.25000000000001,
4.20000000000001,
4.15000000000001,
4.10000000000001,
4.05000000000001,
4.00000000000001,
3.95000000000001,
3.90000000000001,
3.85000000000001,
3.80000000000001,
3.75000000000001,
3.70000000000001,
3.65000000000001,
3.60000000000001,
3.55000000000001,
3.50000000000001,
3.45000000000001,
3.40000000000001,
3.35000000000001,
3.30000000000001,
3.25000000000001,
3.20000000000001,
3.15000000000001,
3.10000000000001,
3.05000000000001,
3.00000000000001,
2.95000000000001,
2.90000000000001,
2.85000000000001,
2.80000000000001,
2.75000000000001,
2.70000000000001,
2.65000000000001,
2.60000000000001,
2.55000000000001,
2.50000000000001,
2.45000000000001,
2.40000000000001,
2.35000000000001,
2.30000000000001,
2.25000000000001,
2.20000000000001,
2.15000000000001,
2.10000000000001,
2.05000000000001,
2.00000000000001,
1.95000000000001,
1.90000000000001,
1.85000000000001,
1.80000000000002,
1.75000000000002,
1.70000000000002,
1.65000000000002,
1.60000000000002,
1.55000000000002,
1.50000000000002,
1.45000000000002,
1.40000000000002,
1.35000000000002,
1.30000000000002,
1.25000000000002,
1.20000000000002,
1.15000000000002,
1.10000000000002,
1.05000000000002,
1.00000000000002,
